id,skill
skill_0,financial analysis
skill_1,forecasting
skill_2,financial planning
skill_3,financial projection
skill_4,statistics
skill_5,industry knowledge
skill_6,workday adaptive planning
skill_7,microsoft excel
skill_8,mathematics
skill_9,valuation
skill_10,financial modeling
skill_11,accounting principles & practices
skill_12,business plan
skill_13,company valuation
skill_14,presentations
skill_15,financial report
skill_16,pro forma statement
skill_17,pitchbook
skill_18,business cases
skill_19,matlab
skill_20,financial forecast
skill_21,groceries
skill_22,shopping
skill_23,ibm spss